tweet_id,image_numero,stance_target,stance_label
1010389494628081665,0,Merger and acquisition between CVS Health and Aetna.,Comment
846997394973753348,0,Merger and acquisition between Anthem and Cigna.,Unrelated
924267034451632129,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
836987399880179712,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
723945052066586625,0,Merger and acquisition between Anthem and Cigna.,Comment
927291445202927616,0,Merger and acquisition between CVS Health and Aetna.,Refute
705388540893511682,0,Merger and acquisition between Anthem and Cigna.,Unrelated
961640156624121857,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
937800290035580928,0,Merger and acquisition between Disney and 21st Century Fox.,Support
1029442344481738752,0,Merger and acquisition between Cigna and Express Scripts.,Support
941281178124013568,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941282037842903040,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
949892085246767104,0,Merger and acquisition between CVS Health and Aetna.,Comment
932366627269763076,0,Merger and acquisition between CVS Health and Aetna.,Support
730344200210894849,0,Merger and acquisition between Anthem and Cigna.,Unrelated
925283398989615104,0,Merger and acquisition between CVS Health and Aetna.,Support
677974909612654592,0,Merger and acquisition between Anthem and Cigna.,Support
937481110816137216,0,Merger and acquisition between CVS Health and Aetna.,Support
928412401560576000,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
951183133935796226,0,Merger and acquisition between CVS Health and Aetna.,Comment
781850745855500289,0,Merger and acquisition between Anthem and Cigna.,Unrelated
911277825482723328,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
953067352198930433,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
929708546043891712,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1042792719796641792,0,Merger and acquisition between Cigna and Express Scripts.,Support
927264291262169088,0,Merger and acquisition between CVS Health and Aetna.,Comment
951856568714301440,0,Merger and acquisition between CVS Health and Aetna.,Comment
974814568286482432,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
974814568286482432,1,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
974814568286482432,2,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
972253673064550400,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
935716950382034944,0,Merger and acquisition between Disney and 21st Century Fox.,Support
959463947752665091,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
728734872215425024,0,Merger and acquisition between Anthem and Cigna.,Unrelated
938224694590935041,0,Merger and acquisition between CVS Health and Aetna.,Comment
745238720060755969,0,Merger and acquisition between Anthem and Cigna.,Comment
956517157315252224,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
802439252604780544,0,Merger and acquisition between Anthem and Cigna.,Comment
913122936617349120,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
913122936617349120,1,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
743757386163204096,0,Merger and acquisition between Anthem and Cigna.,Comment
1125762006869393408,0,Merger and acquisition between Anthem and Cigna.,Unrelated
940714128221622272,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
974009664743591939,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
973144297636749312,0,Merger and acquisition between Cigna and Express Scripts.,Support
952693169845624832,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
952895755316023296,0,Merger and acquisition between CVS Health and Aetna.,Comment
959456388358447105,0,Merger and acquisition between CVS Health and Aetna.,Comment
939408024182984704,0,Merger and acquisition between Disney and 21st Century Fox.,Support
943497566754410501,0,Merger and acquisition between CVS Health and Aetna.,Comment
1026800269261078528,0,Merger and acquisition between Cigna and Express Scripts.,Refute
959947991640457216,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
929791479530352640,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
981056075607703552,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
996449938195341315,0,Merger and acquisition between CVS Health and Aetna.,Comment
947965667977846784,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
979389317909970945,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
732000884683616256,0,Merger and acquisition between Anthem and Cigna.,Unrelated
971797981568495616,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
932020598875734016,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
825767249747255297,0,Merger and acquisition between Anthem and Cigna.,Unrelated
898213881079709696,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1337781274010939392,0,Merger and acquisition between Anthem and Cigna.,Unrelated
934464126952378369,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
967477891523948544,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
937784703641321472,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
928356460555272193,0,Merger and acquisition between CVS Health and Aetna.,Comment
707908800771133440,0,Merger and acquisition between Anthem and Cigna.,Unrelated
941484454538772481,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
981180023850778625,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
970638326175760384,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1062382223544999936,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
972280631974645760,0,Merger and acquisition between Cigna and Express Scripts.,Comment
755777369697320960,0,Merger and acquisition between Anthem and Cigna.,Unrelated
976474194081976320,0,Merger and acquisition between Cigna and Express Scripts.,Comment
963130552332308480,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
761480631603892224,0,Merger and acquisition between Anthem and Cigna.,Unrelated
854366587733684226,0,Merger and acquisition between Anthem and Cigna.,Unrelated
906270967294566402,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
906270967294566402,1,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
906270967294566402,2,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
952771859610853376,0,Merger and acquisition between CVS Health and Aetna.,Comment
942159906978828288,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
973693674969288706,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
949102666512306178,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
976233955199471616,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
800728141429882880,0,Merger and acquisition between Anthem and Cigna.,Comment
981204036933341184,0,Merger and acquisition between CVS Health and Aetna.,Support
493479722345832448,0,Merger and acquisition between Anthem and Cigna.,Unrelated
884418837566771200,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
938289162490466304,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
942138272066699266,0,Merger and acquisition between CVS Health and Aetna.,Comment
916967667688284160,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
613320821482868736,0,Merger and acquisition between Anthem and Cigna.,Unrelated
939466934135001088,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
917840669758164993,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
917840669758164993,1,Merger and acquisition between Cigna and Express Scripts.,Unrelated
941672855846170624,0,Merger and acquisition between Disney and 21st Century Fox.,Support
963993809330712576,0,Merger and acquisition between Disney and 21st Century Fox.,Support
983646128297119744,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1067981993869217794,0,Merger and acquisition between CVS Health and Aetna.,Support
748859894292504576,0,Merger and acquisition between Anthem and Cigna.,Comment
971876284585320448,0,Merger and acquisition between Cigna and Express Scripts.,Comment
952065244502855680,0,Merger and acquisition between CVS Health and Aetna.,Comment
955729198290698240,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
937698408302825472,0,Merger and acquisition between CVS Health and Aetna.,Comment
971721647349686273,0,Merger and acquisition between Cigna and Express Scripts.,Support
1034914866346127360,0,Merger and acquisition between Cigna and Express Scripts.,Support
857992326739890178,0,Merger and acquisition between Anthem and Cigna.,Refute
1082439005277306880,0,Merger and acquisition between Anthem and Cigna.,Comment
644382774665809920,0,Merger and acquisition between Anthem and Cigna.,Support
1123618178305802242,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
945070362919882752,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
959061344912732160,0,Merger and acquisition between CVS Health and Aetna.,Comment
971896765946449921,0,Merger and acquisition between Cigna and Express Scripts.,Comment
940330863551766528,0,Merger and acquisition between Disney and 21st Century Fox.,Support
1156951380109733888,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
941690562352054274,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
606470542212759553,0,Merger and acquisition between Anthem and Cigna.,Unrelated
939017693134331905,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
921613283068645376,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1068913390683336705,0,Merger and acquisition between CVS Health and Aetna.,Comment
964238419370033152,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1318201198701387781,0,Merger and acquisition between Anthem and Cigna.,Refute
951915707154841601,0,Merger and acquisition between CVS Health and Aetna.,Comment
516993872086695936,0,Merger and acquisition between Anthem and Cigna.,Unrelated
952864877474918400,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
735115423922966528,0,Merger and acquisition between Anthem and Cigna.,Comment
961955223609708544,0,Merger and acquisition between CVS Health and Aetna.,Comment
893507108930371584,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
893507108930371584,1,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
893507108930371584,2,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
941700729403793408,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
949015486712426501,0,Merger and acquisition between CVS Health and Aetna.,Support
952242935348768768,0,Merger and acquisition between CVS Health and Aetna.,Comment
1026849216772096001,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
976175937179004929,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
952979206572568576,0,Merger and acquisition between CVS Health and Aetna.,Comment
972283595002806277,0,Merger and acquisition between Cigna and Express Scripts.,Comment
938077575439638529,0,Merger and acquisition between CVS Health and Aetna.,Comment
902525245050863616,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
939315948116434944,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
950034209988665344,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
936535493176713217,0,Merger and acquisition between Disney and 21st Century Fox.,Support
697589616791126016,0,Merger and acquisition between Anthem and Cigna.,Unrelated
886072894375288833,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
965902587039043584,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1050761798587228160,0,Merger and acquisition between CVS Health and Aetna.,Comment
1058008147409932288,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
1046609868201906176,0,Merger and acquisition between CVS Health and Aetna.,Comment
937406553090650112,0,Merger and acquisition between CVS Health and Aetna.,Support
941436632858730496,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941014528795475969,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943958237740765185,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943958237740765185,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
937588539155509250,0,Merger and acquisition between CVS Health and Aetna.,Support
941375978630103041,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
947232076285145088,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
886436496294768640,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
974624421720735744,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
974624421720735744,1,Merger and acquisition between CVS Health and Aetna.,Unrelated
974624421720735744,2,Merger and acquisition between CVS Health and Aetna.,Unrelated
974624421720735744,3,Merger and acquisition between CVS Health and Aetna.,Unrelated
935163703653163008,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
886948128057827329,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
885724309670383620,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
968827492252479489,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
937773589155037184,0,Merger and acquisition between CVS Health and Aetna.,Comment
938533237986557952,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
984457756060110850,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
941483443510267904,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
737671199745003520,0,Merger and acquisition between Anthem and Cigna.,Unrelated
737671199745003520,1,Merger and acquisition between Anthem and Cigna.,Unrelated
700481531853209600,0,Merger and acquisition between Anthem and Cigna.,Comment
714955297870073856,0,Merger and acquisition between Anthem and Cigna.,Comment
975035550515183619,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
938489414744883200,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1237407253013151745,0,Merger and acquisition between Anthem and Cigna.,Unrelated
1237407253013151745,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
971989531057508358,0,Merger and acquisition between Cigna and Express Scripts.,Support
1019159056605499392,0,Merger and acquisition between CVS Health and Aetna.,Comment
1026388977673232390,0,Merger and acquisition between CVS Health and Aetna.,Support
940714801495511040,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
953689272552513536,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1026880739110014976,0,Merger and acquisition between Cigna and Express Scripts.,Refute
847478894248808448,0,Merger and acquisition between Anthem and Cigna.,Refute
1158581475043946498,0,Merger and acquisition between Anthem and Cigna.,Unrelated
942857710256775168,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1050403201453907968,0,Merger and acquisition between CVS Health and Aetna.,Support
885852418516303873,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1040722110098944001,0,Merger and acquisition between Cigna and Express Scripts.,Comment
1057312948857651200,0,Merger and acquisition between CVS Health and Aetna.,Support
1050060605149913088,0,Merger and acquisition between CVS Health and Aetna.,Support
1058384295058800640,0,Merger and acquisition between Cigna and Express Scripts.,Support
962187703830786048,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
972122184717127680,0,Merger and acquisition between Cigna and Express Scripts.,Comment
830469205459947520,0,Merger and acquisition between Anthem and Cigna.,Refute
830469205459947520,1,Merger and acquisition between Anthem and Cigna.,Refute
937364938837946374,0,Merger and acquisition between CVS Health and Aetna.,Support
938906896765018112,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
