tweet_id,image_numero,stance_target,stance_label
942056950082260992,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1258387960438960130,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
1037405302315016193,0,Merger and acquisition between Cigna and Express Scripts.,Support
859495276092026880,0,Merger and acquisition between Aetna and Humana.,Refute
956680001289515008,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
941644766118375424,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941330998033297409,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
977369332941402113,0,Merger and acquisition between Disney and 21st Century Fox.,Support
961197761675907073,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
975828015535050753,0,Merger and acquisition between Cigna and Express Scripts.,Comment
942862036463054848,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1006517799940915201,0,Merger and acquisition between CVS Health and Aetna.,Comment
941377313899470848,0,Merger and acquisition between Disney and 21st Century Fox.,Support
974814568286482432,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
974814568286482432,1,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
974814568286482432,2,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
932724792221929473,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
932724792221929473,1,Merger and acquisition between Disney and 21st Century Fox.,Refute
932724792221929473,2,Merger and acquisition between Disney and 21st Century Fox.,Refute
932724792221929473,3,Merger and acquisition between Disney and 21st Century Fox.,Refute
724627617761136640,0,Merger and acquisition between Aetna and Humana.,Unrelated
937433226322366464,0,Merger and acquisition between CVS Health and Aetna.,Support
768953367120998400,0,Merger and acquisition between Aetna and Humana.,Comment
939408024182984704,0,Merger and acquisition between Disney and 21st Century Fox.,Support
940996054245187584,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
823623088881405953,0,Merger and acquisition between Aetna and Humana.,Refute
940272769283051525,0,Merger and acquisition between CVS Health and Aetna.,Comment
921613283068645376,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
928532697278017536,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
823595570610704385,0,Merger and acquisition between Aetna and Humana.,Refute
1085212715780583424,0,Merger and acquisition between Cigna and Express Scripts.,Support
975215555689852928,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1281254777138151425,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
928429644579254274,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
982075788727009280,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
926167571598016513,0,Merger and acquisition between CVS Health and Aetna.,Comment
937577345170530304,0,Merger and acquisition between CVS Health and Aetna.,Comment
937577345170530304,1,Merger and acquisition between CVS Health and Aetna.,Comment
949395428952375299,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
950692403328905216,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
982682791111548928,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
621345482305085441,0,Merger and acquisition between Aetna and Humana.,Unrelated
1000010076189609985,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
839810548481028096,0,Merger and acquisition between Aetna and Humana.,Unrelated
927341024141299712,0,Merger and acquisition between CVS Health and Aetna.,Comment
1147258899915055106,0,Merger and acquisition between Cigna and Express Scripts.,Support
928395458107539457,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
947281779681095680,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
612949615994732544,0,Merger and acquisition between Aetna and Humana.,Comment
1038067906565664768,0,Merger and acquisition between CVS Health and Aetna.,Refute
962734351116046336,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
988843147575820289,0,Merger and acquisition between CVS Health and Aetna.,Comment
1027174945233629184,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
943382964464996352,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
975617644912033792,0,Merger and acquisition between CVS Health and Aetna.,Comment
941991009231294464,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
925836060009095168,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
925836060009095168,1,Merger and acquisition between CVS Health and Aetna.,Unrelated
823894127976783872,0,Merger and acquisition between Aetna and Humana.,Comment
940010332008919040,0,Merger and acquisition between Disney and 21st Century Fox.,Support
1029443893950119938,0,Merger and acquisition between CVS Health and Aetna.,Refute
1043245989304381440,0,Merger and acquisition between CVS Health and Aetna.,Comment
928683906731270144,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
960714677092257792,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
1001436496497401858,0,Merger and acquisition between Cigna and Express Scripts.,Comment
1049401804373544965,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
939026686116368385,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
927666907804610560,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
951301390172790784,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
898145841344655360,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
969001294764503040,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
985724792425844736,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1069986306246275072,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
1072116482920865792,0,Merger and acquisition between CVS Health and Aetna.,Comment
918974679582367745,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
940367162471956480,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1026785978747420672,0,Merger and acquisition between Cigna and Express Scripts.,Refute
927609114754273280,0,Merger and acquisition between Disney and 21st Century Fox.,Support
998545439883517952,0,Merger and acquisition between Cigna and Express Scripts.,Comment
1027360245205676037,0,Merger and acquisition between Cigna and Express Scripts.,Comment
949672677027012608,0,Merger and acquisition between CVS Health and Aetna.,Support
979872264035422208,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
984762634884079617,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1036310791883030528,0,Merger and acquisition between Cigna and Express Scripts.,Support
984189821621956609,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1012335399388221440,0,Merger and acquisition between Cigna and Express Scripts.,Comment
725383024267784192,0,Merger and acquisition between Aetna and Humana.,Unrelated
944700734205022208,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943404436776353792,0,Merger and acquisition between CVS Health and Aetna.,Comment
937581840059203585,0,Merger and acquisition between Disney and 21st Century Fox.,Support
894410291156570113,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
973083704032624641,0,Merger and acquisition between Cigna and Express Scripts.,Support
905443416103931907,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
946525312111673344,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941311367574892544,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
962336887544393728,0,Merger and acquisition between CVS Health and Aetna.,Comment
981204036933341184,0,Merger and acquisition between CVS Health and Aetna.,Support
941415834462941186,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941415834462941186,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
1026957371896221699,0,Merger and acquisition between Cigna and Express Scripts.,Support
972131020374978560,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
936260106890764289,0,Merger and acquisition between CVS Health and Aetna.,Comment
963660354281787392,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
927611946932822016,0,Merger and acquisition between Disney and 21st Century Fox.,Support
936289855260299275,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
927655230589714432,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
823972661965582338,0,Merger and acquisition between Aetna and Humana.,Refute
953137766111596555,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
907984282316099590,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
949689275406274561,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1041775323052879872,0,Merger and acquisition between Cigna and Express Scripts.,Support
931219077938515968,0,Merger and acquisition between CVS Health and Aetna.,Comment
824233899521757189,0,Merger and acquisition between Aetna and Humana.,Comment
1052668909856407555,0,Merger and acquisition between CVS Health and Aetna.,Support
959178550346690563,0,Merger and acquisition between CVS Health and Aetna.,Comment
971740350774693888,0,Merger and acquisition between Cigna and Express Scripts.,Comment
928050989264912384,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
927955345317814272,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
937725370715041792,0,Merger and acquisition between CVS Health and Aetna.,Comment
933456331394240514,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
940605926310121473,0,Merger and acquisition between CVS Health and Aetna.,Comment
938098212002516993,0,Merger and acquisition between CVS Health and Aetna.,Comment
1333527740969050112,0,Merger and acquisition between Cigna and Express Scripts.,Comment
940577953901105153,0,Merger and acquisition between Disney and 21st Century Fox.,Support
927928805158555649,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
936671517106163714,0,Merger and acquisition between CVS Health and Aetna.,Comment
941724697166864385,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1034130484589146112,0,Merger and acquisition between Cigna and Express Scripts.,Support
940359573214507008,0,Merger and acquisition between CVS Health and Aetna.,Comment
941309324353245185,0,Merger and acquisition between CVS Health and Aetna.,Comment
941764151856201728,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
952691850271510531,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1053333198598373376,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
951856905391169537,0,Merger and acquisition between CVS Health and Aetna.,Comment
917843027934302215,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1041818626628702210,0,Merger and acquisition between Cigna and Express Scripts.,Support
923641434909093890,0,Merger and acquisition between CVS Health and Aetna.,Support
938411465069027328,0,Merger and acquisition between Disney and 21st Century Fox.,Support
939831339184021510,0,Merger and acquisition between CVS Health and Aetna.,Comment
900082077118464004,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
954058540770983936,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
1073692424298553345,0,Merger and acquisition between CVS Health and Aetna.,Comment
899718766560509952,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
929843774502645762,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
998690213915340802,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
946418881978974209,0,Merger and acquisition between CVS Health and Aetna.,Comment
1047618797107138562,0,Merger and acquisition between CVS Health and Aetna.,Comment
940657517046136833,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
936966753552355329,0,Merger and acquisition between CVS Health and Aetna.,Support
935735423279796226,0,Merger and acquisition between Disney and 21st Century Fox.,Support
971712289954058240,0,Merger and acquisition between Cigna and Express Scripts.,Support
835045550978400257,0,Merger and acquisition between Aetna and Humana.,Refute
941775633121554432,0,Merger and acquisition between Disney and 21st Century Fox.,Support
831640301710221312,0,Merger and acquisition between Aetna and Humana.,Refute
941812148837146624,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
944845832423063552,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943604541290934272,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
943384457477726208,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
983712105156235265,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
818582379635896320,0,Merger and acquisition between Aetna and Humana.,Comment
979484187152429057,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
979484187152429057,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
979484187152429057,2,Merger and acquisition between Disney and 21st Century Fox.,Comment
979484187152429057,3,Merger and acquisition between Disney and 21st Century Fox.,Comment
823571463513014278,0,Merger and acquisition between Aetna and Humana.,Refute
972407133693235200,0,Merger and acquisition between Cigna and Express Scripts.,Refute
1060200487000178688,0,Merger and acquisition between CVS Health and Aetna.,Comment
971613701081124864,0,Merger and acquisition between Cigna and Express Scripts.,Support
811226390527963136,0,Merger and acquisition between Aetna and Humana.,Unrelated
979461013601996802,0,Merger and acquisition between CVS Health and Aetna.,Comment
886436496294768640,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
817538777363025920,0,Merger and acquisition between Aetna and Humana.,Comment
1068157651274604545,0,Merger and acquisition between CVS Health and Aetna.,Support
937481110816137216,0,Merger and acquisition between CVS Health and Aetna.,Support
976076383054172166,0,Merger and acquisition between CVS Health and Aetna.,Comment
1061154246782058497,0,Merger and acquisition between CVS Health and Aetna.,Comment
938184228197482496,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
865044893072330753,0,Merger and acquisition between Aetna and Humana.,Unrelated
865044893072330753,1,Merger and acquisition between Aetna and Humana.,Unrelated
865044893072330753,2,Merger and acquisition between Aetna and Humana.,Unrelated
945731547172360192,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
985947877552910336,0,Merger and acquisition between Cigna and Express Scripts.,Comment
938154234268274689,0,Merger and acquisition between CVS Health and Aetna.,Comment
999997768704909312,0,Merger and acquisition between CVS Health and Aetna.,Comment
971777571720282113,0,Merger and acquisition between Cigna and Express Scripts.,Support
649277162722336768,0,Merger and acquisition between Aetna and Humana.,Comment
1074703893437702144,0,Merger and acquisition between CVS Health and Aetna.,Support
928449423117619200,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
928668727230582784,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
934158443564453895,0,Merger and acquisition between CVS Health and Aetna.,Comment
937877443779506176,0,Merger and acquisition between CVS Health and Aetna.,Comment
1067813327345209345,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
884203004894658560,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
760456691112677376,0,Merger and acquisition between Aetna and Humana.,Unrelated
938108637364609024,0,Merger and acquisition between Disney and 21st Century Fox.,Support
1058384295058800640,0,Merger and acquisition between Cigna and Express Scripts.,Support
937411142237831168,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
945816055485779968,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
949008896764489728,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
946290207405441024,0,Merger and acquisition between CVS Health and Aetna.,Comment
935557479492214788,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
939661255278780416,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
939661255278780416,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
933833343728259075,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
946785394523242498,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
986144810649247744,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
939271853050343424,0,Merger and acquisition between CVS Health and Aetna.,Comment
973635818337181696,0,Merger and acquisition between Cigna and Express Scripts.,Comment
973635818337181696,1,Merger and acquisition between Cigna and Express Scripts.,Comment
1040509725421449216,0,Merger and acquisition between Cigna and Express Scripts.,Support
972059189227999232,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
755415298165977088,0,Merger and acquisition between Aetna and Humana.,Comment
937714236477902848,0,Merger and acquisition between CVS Health and Aetna.,Comment
939616779336343552,0,Merger and acquisition between Disney and 21st Century Fox.,Support
941498930885300225,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941498930885300225,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
941498930885300225,2,Merger and acquisition between Disney and 21st Century Fox.,Comment
1067832503245910016,0,Merger and acquisition between CVS Health and Aetna.,Comment
940619572784152576,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
