tweet_id,image_numero,stance_target,stance_label
938065017873817601,0,Merger and acquisition between Disney and 21st Century Fox.,Support
949760925195698176,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1201341983094190080,0,Merger and acquisition between Anthem and Cigna.,Unrelated
824706482382008320,0,Merger and acquisition between Aetna and Humana.,Support
624319841478938625,0,Merger and acquisition between Aetna and Humana.,Comment
941525978240692224,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
912192459496620032,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
646671816795271168,0,Merger and acquisition between Aetna and Humana.,Comment
646671816795271168,0,Merger and acquisition between Anthem and Cigna.,Comment
735436521029926912,0,Merger and acquisition between Anthem and Cigna.,Refute
1158083451087667203,0,Merger and acquisition between Cigna and Express Scripts.,Comment
998938795482361856,0,Merger and acquisition between Cigna and Express Scripts.,Comment
988787143148490752,0,Merger and acquisition between Cigna and Express Scripts.,Comment
805777804470075392,0,Merger and acquisition between Aetna and Humana.,Support
650947353776623616,0,Merger and acquisition between Anthem and Cigna.,Unrelated
760588711608266753,0,Merger and acquisition between Aetna and Humana.,Comment
760588711608266753,0,Merger and acquisition between Anthem and Cigna.,Comment
831496964307034114,0,Merger and acquisition between Aetna and Humana.,Unrelated
981869812287651840,0,Merger and acquisition between Cigna and Express Scripts.,Unrelated
894565647195045888,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
941442427319136256,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
973623018219032577,0,Merger and acquisition between Cigna and Express Scripts.,Support
949439951283814403,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
626437839236935680,0,Merger and acquisition between Aetna and Humana.,Support
806335195003633664,0,Merger and acquisition between Aetna and Humana.,Comment
938157109610500096,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
938157109610500096,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
946778974499328001,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1166371548221104129,0,Merger and acquisition between Cigna and Express Scripts.,Support
943149057580650497,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
971770301053882370,0,Merger and acquisition between Cigna and Express Scripts.,Support
938536072828596224,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943834827530190848,0,Merger and acquisition between Disney and 21st Century Fox.,Support
947619435245916161,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
624887972194840576,0,Merger and acquisition between Anthem and Cigna.,Support
